,TOTAL TSS
2025-02-09,229.97890437841755
2025-02-10,0.0
2025-02-11,47.2295608223482
2025-02-12,40.74245965022158
2025-02-13,89.86735878696797
2025-02-14,64.4325400165482
2025-02-15,38.0171969433793
2025-02-16,270.06661704382395
2025-02-17,0.0
2025-02-18,46.57359469981545
2025-02-19,46.66540248592835
2025-02-20,99.70685062495718
2025-02-21,76.95732911227628
2025-02-22,37.06336782678465
2025-02-23,279.9170416505219
2025-02-24,0.0
2025-02-25,93.13692718056565
2025-02-26,31.243281758904224
2025-02-27,40.08771266540643
2025-02-28,59.401823684660044
2025-03-01,49.412847733533695
2025-03-02,109.71576638219825
2025-03-03,32.140283995697
